"id","product_name","brand","model","product_type","quantity","created_at","updated_at","code","description","image_url"
"11","Switch 48 PoE (195w)","UNIFI","USW-48-POE-EU","Switch","0","2024-09-25 12:04:24","2024-10-01 15:34:38","0","A 48-port, Layer 2 PoE switch with a silent, fanless cooling system.","https://images.svc.ui.com/?u=https%3A%2F%2Fcdn.ecomm.ui.com%2Fproducts%2F147e90c2-da47-44ad-ad19-b98e223cb54b%2F9206ca50-0940-46d6-847f-84297cb1e73e.png&q=75&w=3840"
"12","Switch 24 PoE (95w)","UNIFI","USW-24-POE-EU","Switch","0","2024-09-25 12:05:52","2024-10-01 15:34:38","0","A 24-port, Layer 2 PoE switch with a fanless cooling system.","https://images.svc.ui.com/?u=https%3A%2F%2Fcdn.ecomm.ui.com%2Fproducts%2F467359c4-e5c3-487b-ae00-f6b7de29c6fc%2F3ee08e9f-f0f6-4ee0-983c-258d4bb0f8a3.png&q=75&w=3840"
"13","Switch Lite 16 PoE (45w)","UNIFI","USW-Lite-16-POE-EU","Switch","0","2024-09-25 12:07:35","2024-10-01 15:34:38","0","A wall-mountable, 16-port, Layer 2 PoE switch with a fanless cooling system.","https://images.svc.ui.com/?u=https%3A%2F%2Fcdn.ecomm.ui.com%2Fproducts%2Fe726eace-a772-4f12-bfad-c68baf20e51f%2F9b7675d4-fc09-4f80-89a7-7b343f6b4caf.png&q=75&w=3840"
"14","Switch Lite 8 PoE / EU Version (52w)","UNIFI","USW-Lite-8-POE-EU","Switch","0","2024-09-25 12:09:21","2024-10-01 15:34:38","0","An 8-port, Layer 2 PoE switch supporting silent fanless cooling.","https://images.svc.ui.com/?u=https%3A%2F%2Fcdn.ecomm.ui.com%2Fproducts%2F75c44878-4e73-446e-8e86-f207db6b2b7c%2Fd28bca76-5a63-4ae0-b9a7-7d6be15d891a.png&q=75&w=3840"
"15","Network Video Recorder","UNIFI","UNVR-EU","NVR","0","2024-09-25 12:10:26","2024-10-04 12:50:04","0","A video recorder with (4) 2.5/3.5 HDD bays that can support up to 30 days of storage for (18) 4K cameras or (60) Full HD cameras.","https://images.svc.ui.com/?u=https%3A%2F%2Fcdn.ecomm.ui.com%2Fproducts%2F8a3b51c6-d3e9-4ea7-95b3-49a1253c4542%2F3d6cf066-5547-4655-8f60-7d10a052fe7d.png&q=75&w=3840"
"16","Camera G5 Turret Ultra / W","UNIFI","UVC-G5-Turret-Ultra","Camera","0","2024-09-25 12:16:51","2024-10-01 12:05:20","0","Ultra-compact, tamper-resistant, and weatherproof 2K HD PoE camera with long-range night vision.","https://images.svc.ui.com/?u=https%3A%2F%2Fcdn.ecomm.ui.com%2Fproducts%2F54f9bb29-40b8-4dac-9b1c-7ccf0e303aa5%2F731d2d7b-3422-475a-862d-5c44dfd35341.png&q=75&w=3840"
"17","Camera G5 Turret Ultra / B","UNIFI","UVC-G5-Turret-Ultra","Camera","0","2024-09-25 12:18:56","2024-10-01 12:05:20","810084693575","Ultra-compact, tamper-resistant, and weatherproof 2K HD PoE camera with long-range night vision.","https://images.svc.ui.com/?u=https%3A%2F%2Fcdn.ecomm.ui.com%2Fproducts%2F54f9bb29-40b8-4dac-9b1c-7ccf0e303aa5%2F731d2d7b-3422-475a-862d-5c44dfd35341.png&q=75&w=3840"
"18","Camera G5 Pro","UNIFI","UVC-G5-Pro","Camera","0","2024-09-25 12:19:33","2024-10-01 12:05:20","810084690246","Next-gen indoor/outdoor 4K PoE camera with exceptional image performance, long-range IR night vision, and 3x optical zoom.","https://images.svc.ui.com/?u=https%3A%2F%2Fcdn.ecomm.ui.com%2Fproducts%2F38dd06cd-7c6b-4d6e-8e64-981d504d468f%2F53e6f4ff-bf2d-43f2-bc40-efce98a8046c.png&q=75&w=3840"
"19","Camera G5 Bullet","UNIFI","UVC-G5-Bullet","Camera","0","2024-09-25 12:22:40","2024-10-01 12:05:20","0","Next-gen indoor/outdoor 2K HD PoE Camera.","https://images.svc.ui.com/?u=https%3A%2F%2Fcdn.ecomm.ui.com%2Fproducts%2F48ca8dea-109e-4d35-af46-b7ad03764207%2F0cd9d5ff-af60-45bd-a01f-b0fb050e76bb.png&q=75&w=3840"
"20","Camera G5 Dome","UNIFI","UVC-G5-Dome","Camera","0","2024-09-25 12:23:52","2024-10-01 12:05:20","810084690208","Next-gen 2K HD PoE ceiling camera with enhanced dynamic range and low-light performance.","https://images.svc.ui.com/?u=https%3A%2F%2Fcdn.ecomm.ui.com%2Fproducts%2F1c20460a-b90b-4430-bbf1-8adf26ec2122%2F46b73c63-f1fb-4b07-844e-fa3315bb0327.png&q=75&w=3840"
